"gene","moduleMembership","GS.trait","moduleName"
"Mex3d",0.844533965503333,-0.389125555578944,"blue"
"Micos13",0.819868004113458,-0.427100691734367,"blue"
"Mif",0.807650392590596,-0.450684294464775,"blue"
"Nme8",0.820328326444494,-0.402889093855087,"blue"
"Oaz1",0.807056588373977,-0.41162013609634,"blue"
"Odf1",0.807308797691845,-0.28839287494523,"blue"
"Odf2",0.947579782529742,-0.243609358533438,"blue"
"Osgin1",0.841010330106865,-0.281152805050723,"blue"
"Oxct2a",0.847961965660332,-0.356104072479391,"blue"
"Park7",0.814811276021081,-0.399612278208137,"blue"
"Peds1",0.860903183884712,-0.486854941983437,"blue"
"Pgam2",0.878096511695487,-0.238395550410111,"blue"
"Phyhipl",0.833918680570782,-0.400903017865122,"blue"
"Pin1",0.835538398590252,-0.386688904158774,"blue"
"Polr2l",0.833622575793801,-0.326843007908073,"blue"
"Prm3",0.895854295936406,-0.237530833845018,"blue"
"Prr30",0.848500805897242,-0.491444434726762,"blue"
"Psmc3",0.951896637968786,-0.247732538839204,"blue"
"Psmf1",0.885884160539105,-0.493163981515435,"blue"
"RGD1305298",0.871649305332413,-0.258150492015607,"blue"
"RGD1308065",0.81521240145561,-0.350826930696103,"blue"
"Reep6",0.879021134501959,-0.418883175858731,"blue"
"Rnaseh2a",0.910476070128884,-0.313450106663156,"blue"
"Rnasek",0.818419015371687,-0.28690333240381,"blue"
"Rpl36",0.800161445083042,-0.343432088314086,"blue"
"Rpsa",0.882831781734171,-0.447085052250245,"blue"
"Sh3rf2",0.90669183996214,-0.293391671839765,"blue"
"Smim47",0.897036462479363,-0.543065190725178,"blue"
"Spata20",0.843339860820476,-0.507702470990091,"blue"
"Spata32",0.805192070928554,-0.291681181652208,"blue"
"Spata7",0.813549517215066,-0.295374568076374,"blue"
"St6galnac2",0.838932834794312,-0.322068393696092,"blue"
"Supt3h",0.863958694835896,-0.229100939284994,"blue"
"Tesk1",0.857540278469652,-0.395346753921118,"blue"
"Tesmin",0.835500959917708,-0.221927117720157,"blue"
"Tex13a",0.826272362296565,-0.331488186745764,"blue"
"Tex48",0.953760724553345,-0.214344316553952,"blue"
"Thop1",0.806382079572719,-0.31994867014655,"blue"
"Tmbim1",0.849827407285181,-0.275595149203614,"blue"
"Tmem53",0.807111982826781,-0.337690598055691,"blue"
"Trim80",0.909660942611743,-0.365219610639135,"blue"
"Tssk6",0.933618494963017,-0.289921897146079,"blue"
"Tubg1",0.884151255263913,-0.270050208441648,"blue"
"Ube2m",0.813237655478762,-0.314756814005202,"blue"
"Ubl7",0.800550097311775,-0.366198036505895,"blue"
"Ubtd1",0.897764066870524,-0.349425263865428,"blue"
"Zdhhc25",0.857886081330301,-0.210625332765741,"blue"
"Zfp629",0.803183985700525,-0.45691903094154,"blue"
"Zfyve1",0.877434252548861,-0.376223782669476,"blue"
"Zmiz2",0.856073005042649,-0.219273616309467,"blue"
"Znhit2",0.912038728547821,-0.291642870912648,"blue"
"Actl7a",0.812468476229455,-0.447493710569212,"turquoise"
"Arrdc5",0.837767942056609,-0.252262014470588,"turquoise"
"Asnsd1",0.833392294808518,-0.570857573427368,"turquoise"
"Asrgl1",0.873334616885533,-0.239311104224951,"turquoise"
